,timestamp,open,close,high,low,tx amt,tx vol
13,01/02/2023,1217.05,1217.72,1223.3,1216.31,1319.5122771,1609196.404834122
12,01/02/2023,1217.72,1217.2,1217.82,1214.18,473.1771711,575460.278051001
11,01/02/2023,1217.2,1216.45,1218.57,1216.44,461.1797426,561552.887226747
10,01/02/2023,1216.45,1214.9,1216.79,1213.93,597.3797066,725965.28695876
9,01/02/2023,1214.79,1216.76,1218.01,1214.78,573.1918398,697247.30771232
8,01/02/2023,1216.77,1218.98,1220.77,1215.68,933.4005575,1137693.477501589
7,01/02/2023,1218.98,1216.42,1219.64,1216.13,510.4034703,621743.34752518
6,01/02/2023,1216.42,1216.97,1217.39,1215.77,379.1705785,461312.525876401
5,01/02/2023,1216.96,1217.96,1219.01,1216.7,274.6069025,334416.826436531
4,01/02/2023,1217.97,1218.83,1219.1,1217.32,330.4068113,402497.99889918
3,01/02/2023,1218.83,1218.35,1218.83,1216.59,443.456482,540014.545829533
2,01/02/2023,1218.36,1219.62,1222.57,1218.12,597.97476918,729358.7816107234
1,01/02/2023,1219.6,1215.01,1220.14,1210.99,843.31374803,1025420.872078684
0,01/02/2023,1215.01,1213.98,1217,1212.8,694.1204099,843367.916697565
23,01/03/2023,1213.98,1215.61,1216.62,1213.08,802.5077589,975160.130136929
22,01/03/2023,1215.6,1214.21,1215.69,1211.46,803.3881649,974724.673386334
21,01/03/2023,1214.2,1214.25,1215.33,1213.06,507.2824419,616051.813086437
20,01/03/2023,1214.25,1215.66,1216.33,1213.02,583.6624159,709068.704780651
19,01/03/2023,1215.66,1213.55,1215.85,1213.29,557.0454906,676739.927621667
18,01/03/2023,1213.56,1217.89,1217.9,1213.52,279.1236286,339522.702935581
17,01/03/2023,1217.89,1216.79,1219.79,1216.51,513.5944943,625604.97243453
16,01/03/2023,1216.8,1216.69,1217.07,1215.32,202.8091384,246689.48852792
15,01/03/2023,1216.69,1215.59,1217.43,1213.98,1032.600568,1255473.082706794
14,01/03/2023,1215.58,1217.37,1218.53,1215.58,490.3237536,596824.414093615
13,01/03/2023,1217.51,1215.78,1218.32,1215.77,243.0548035,295797.683957547
12,01/03/2023,1215.78,1214.85,1216.79,1214.2,299.7750996,364373.814499258
11,01/03/2023,1214.85,1215.27,1216.48,1214.65,363.1779667,441430.361491294
10,01/03/2023,1215.27,1216.49,1217.78,1215.26,430.6759958,523932.544598694
9,01/03/2023,1216.48,1210.35,1219.23,1206.51,1662.4454532,2017511.976901059
8,01/03/2023,1210.11,1211.81,1212.09,1207.13,1435.9338926,1736975.208246054
7,01/03/2023,1212.08,1207.86,1212.79,1207.53,939.9405306,1136719.648665171
6,01/03/2023,1207.86,1208.85,1209.8,1207,524.620707,633863.720410102
5,01/03/2023,1208.85,1207.92,1209.37,1206.8,347.8627165,420206.990042655
4,01/03/2023,1207.93,1209.62,1210.6,1205.12,687.3115088,829882.264866292
3,01/03/2023,1209.61,1211.12,1212.62,1209.61,608.2892944,736763.445194165
2,01/03/2023,1211.12,1211.51,1212.36,1210.34,429.2974648,520047.550306991
1,01/03/2023,1211.57,1212.67,1212.9,1209.97,485.0805348,587407.787329187
0,01/03/2023,1212.66,1214.68,1216.1,1212.34,573.2894358,696298.877099513
23,01/04/2023,1214.69,1213.5,1215.05,1212.98,459.5609805,557926.144870363
22,01/04/2023,1213.49,1224.12,1228,1213.2,2396.5476986,2929841.329637843
21,01/04/2023,1224.12,1231.45,1233,1224.12,2534.9065737,3117256.64238763
20,01/04/2023,1231.45,1251.03,1254.58,1231.45,6449.74216256,8042059.0131649349
19,01/04/2023,1251.04,1250.51,1254.66,1248.86,2468.6378184,3090783.581278
18,01/04/2023,1250.51,1248.1,1251.15,1247.47,819.2578315,1023248.421468397
17,01/04/2023,1248.11,1250.52,1251.46,1247.46,667.8104197,834368.604058638
16,01/04/2023,1250.52,1252.39,1253.05,1247.81,1084.8037759,1356927.418750986
15,01/04/2023,1252.3,1250.74,1260.97,1248.42,2502.9398644,3138040.979625886
14,01/04/2023,1250.91,1249.91,1251.74,1249.43,1053.5198023,1317530.108485182
13,01/04/2023,1249.75,1249.9,1250.35,1248.96,515.2611579,643902.046348261
12,01/04/2023,1249.9,1251.6,1253.48,1249.66,706.28424802,883569.9761974948
11,01/04/2023,1251.59,1250.88,1256.21,1250.39,1228.5893199,1539385.021594178
10,01/04/2023,1250.88,1253.53,1253.86,1250.87,356.2502769,446234.512841649
9,01/04/2023,1253.52,1251,1254.99,1249.22,1503.1908234,1882000.274681208
8,01/04/2023,1250.85,1256.01,1258.08,1243.6,2939.87319212,3676605.7093405162
7,01/04/2023,1256,1253.92,1257.41,1250.87,1250.3953945,1567898.225544216
6,01/04/2023,1253.92,1260.14,1270.8,1252.73,3224.40058234,4072993.4817070836
5,01/04/2023,1260.36,1262.34,1267.33,1257.33,1951.0314905,2463635.209266732
4,01/04/2023,1262.25,1254.32,1265.48,1251.44,4290.3994245,5393490.287620455
3,01/04/2023,1254.33,1251.23,1254.6,1245.93,1537.7614576,1923336.847949996
2,01/04/2023,1251.18,1252.78,1253.5,1250.48,603.7813066,756179.725898049
1,01/04/2023,1252.77,1253.25,1257.36,1252.22,603.8346224,757512.673625495
0,01/04/2023,1253.24,1256.87,1257.4,1252.92,495.7034991,622615.327746769
23,01/05/2023,1256.86,1254.13,1259.91,1253.35,1148.9451806,1443275.952328775
22,01/05/2023,1254.13,1254.45,1256.6,1252.51,611.3656769,767068.935141061
21,01/05/2023,1254.34,1254.03,1254.61,1252,1090.737226,1367009.019197522
20,01/05/2023,1254.04,1252.82,1254.09,1252,589.8122756,738962.026338274
19,01/05/2023,1252.82,1252.97,1254.32,1252.41,579.9815859,727056.679246259
