date,open,high,low,close,volume
2022-06-19,1055.3,1068.2,1019.5,1037.3,1359.261562
2022-06-19,1036.5,1079.1,1028.1,1048,1077.852159
2022-06-19,1048.1,1160.8,1046,1141.2,7369.61192
2022-06-19,1140.4,1149.2,1119,1128.8,640.4623885
2022-06-20,1128,1131.3,1053.4,1075.7,992.3899533
2022-06-20,1075.7,1092.2,1060.9,1080.4,451.7052979
2022-06-20,1080.6,1131.1,1067.3,1126.5,2073.127791
2022-06-20,1125.8,1171,1118,1153.4,2813.174974
2022-06-20,1152.8,1152.8,1107.6,1140.8,1942.119521
2022-06-20,1141.2,1152.7,1094.6,1097.5,1906.976004
2022-06-20,1097.4,1128,1083.8,1121.2,1256.440844
2022-06-20,1121.2,1137.8,1091.3,1128.9,822.0636588
2022-06-21,1128.9,1143.4,1110.2,1120.4,974.5575518
2022-06-21,1120.5,1159.2,1114.5,1150.8,773.6767224
2022-06-21,1151.2,1177.2,1140.5,1166.4,2168.375324
2022-06-21,1166.4,1171.9,1137.2,1143.5,583.0157303
2022-06-21,1141.6,1193.4,1136.3,1182.5,2860.13984
2022-06-21,1182.7,1182.7,1148.7,1151.9,1145.534392
2022-06-21,1151.1,1154,1113.8,1122.9,1599.120398
2022-06-21,1122.8,1140.4,1118.6,1126,428.7469423
2022-06-22,1123.1,1125.9,1095,1102.7,1121.249819
2022-06-22,1103.4,1106.5,1085.9,1094.2,588.792835
2022-06-22,1093.5,1098.4,1066.9,1081.7,718.8077535
2022-06-22,1082.2,1106,1079.9,1096.2,1403.481895
2022-06-22,1096.3,1125.4,1071.1,1110.4,3179.57161
2022-06-22,1109.7,1109.7,1055,1081.9,3177.49219
2022-06-22,1081.8,1088.2,1044,1049.9,996.4383978
2022-06-22,1049.2,1065.5,1046.1,1049.1,506.5409163
2022-06-23,1049.8,1098.1,1046.1,1086.8,594.3602305
2022-06-23,1085.5,1092.3,1072.9,1085.3,316.0189794
2022-06-23,1085.5,1110,1082.9,1097.6,850.5240786
2022-06-23,1097.8,1116,1094,1106.5,1077.571659
2022-06-23,1106.8,1130.7,1101,1111.4,1284.103223
2022-06-23,1110.7,1111.9,1083.2,1093.4,1173.130953
2022-06-23,1093.6,1145.7,1089.8,1135.1,1445.069758
2022-06-23,1135.2,1153.9,1121.6,1144.5,1153.338343
2022-06-24,1144.4,1168,1141.3,1152,577.8995404
2022-06-24,1152.6,1160.7,1138.2,1140.4,567.2460494
2022-06-24,1140.9,1162,1131.8,1159.3,1109.496013
2022-06-24,1159.3,1205,1143.9,1196.3,2508.939916
2022-06-24,1196.3,1225,1192.6,1201.9,2707.268753
2022-06-24,1201.8,1218.2,1185.1,1204.1,1586.864482
2022-06-24,1204.6,1242.7,1201.8,1218.1,1117.609807
2022-06-24,1218.2,1246,1216.1,1224.7,980.7389422
2022-06-25,1224.7,1226.4,1204.1,1206.8,708.4645765
2022-06-25,1207.8,1229.8,1205.4,1219.2,212.3887803
