date,open,high,low,close,volume
2022-06-19,1055.3,1061.3,1051.5,1059.9,37.25112491
2022-06-19,1060.6,1068.2,1031.8,1034.8,445.6515902
2022-06-19,1039.1,1044.4,1031.6,1032.6,131.0950659
2022-06-19,1032.6,1038.6,1027.7,1033.2,222.5142587
2022-06-19,1033.8,1038.6,1033,1033.4,46.10457929
2022-06-19,1033.7,1043.9,1033.7,1041.5,26.08504006
2022-06-19,1042.4,1046.5,1038.2,1038.3,69.5235387
2022-06-19,1038.2,1040.8,1019.5,1021.9,222.1456735
2022-06-19,1022.7,1029.4,1021.5,1021.5,68.20054636
2022-06-19,1021.9,1031.8,1020.3,1030.3,21.36364762
2022-06-19,1030.6,1035.3,1030.6,1032.5,16.31450966
2022-06-19,1032.1,1040.1,1032.1,1037.3,53.01198747
2022-06-19,1036.5,1041,1031.6,1033.2,38.23772919
2022-06-19,1033.9,1036.9,1028.1,1035.5,19.46575221
2022-06-19,1037.8,1064.1,1036.8,1052.4,315.1924001
2022-06-19,1054.4,1079.1,1051.9,1071.4,360.3799283
2022-06-19,1071.3,1074.3,1060.5,1061.6,147.1736994
2022-06-19,1061.6,1063.2,1057,1060.6,31.75710472
2022-06-19,1059.3,1061.7,1055.4,1060,10.88264996
2022-06-19,1060.1,1066.6,1047.3,1053.4,75.17631112
2022-06-19,1053.2,1055.6,1048,1049.2,18.30125199
2022-06-19,1048.5,1052,1046.9,1050.4,14.23863469
2022-06-19,1049.7,1052,1043.4,1048.7,26.88883277
2022-06-19,1049.5,1049.5,1043.6,1048,20.15786466
2022-06-19,1048.1,1058,1046,1055.1,25.63669881
2022-06-19,1054.9,1065.6,1054.9,1060.9,26.77911881
2022-06-19,1060.7,1063.4,1057.5,1057.6,8.82773799
2022-06-19,1058.6,1115.6,1057.8,1110.3,939.7229559
2022-06-19,1110.2,1129.3,1092.1,1096.6,1087.399377
2022-06-19,1097.8,1099.9,1090.4,1096.2,1035.438346
2022-06-19,1096.2,1106.4,1093.6,1101,582.3012564
2022-06-19,1101.9,1110,1099.3,1099.9,1738.438112
2022-06-19,1099.6,1118.9,1098.9,1107.6,228.5085195
2022-06-19,1107,1122.3,1106.9,1122.3,346.3261124
2022-06-19,1123.2,1151,1123.2,1136.2,349.2976336
2022-06-19,1135.8,1160.8,1135.7,1141.2,1000.936051
2022-06-19,1140.4,1142.8,1133,1138.1,84.56200807
2022-06-19,1136.9,1138.7,1128.8,1129.2,45.05029987
2022-06-19,1128.7,1137.4,1128.7,1132.5,24.68646125
2022-06-19,1134.8,1137.2,1125.6,1132.3,81.34829974
2022-06-19,1133,1138,1126.5,1136.1,39.62004898
2022-06-19,1136.8,1149.2,1136.8,1143.5,106.6379746
2022-06-19,1143.9,1144.9,1133.4,1135.7,33.75606885
2022-06-19,1135.1,1141.6,1134.1,1140.7,38.28498572
2022-06-19,1141.5,1142.1,1128.2,1129.5,43.17253797
2022-06-19,1129,1130.7,1120.2,1122.6,71.31788237
2022-06-19,1123,1125.9,1119,1119.2,48.83721199
2022-06-19,1121.3,1129.2,1119.4,1128.8,23.18860905
