,timestamp,open,close,high,low,tx amt,tx vol
2,08/17/2022,1876.92,1831.18,1886.7,1814.99,33744.87158719,62142689.6804622223
1,08/17/2022,1831.46,1838.22,1870.58,1824.01,22950.52327514,42352491.5849335147
0,08/17/2022,1838.27,1834.39,1853.99,1824.31,12270.82213384,22555704.9961910231
5,08/18/2022,1834.39,1848.31,1865.32,1821.32,13721.43509705,25349287.5209329416
4,08/18/2022,1848.31,1844.69,1852.8,1835.98,9293.69013631,17149209.7609096778
3,08/18/2022,1844.7,1859.4,1865.9,1834.41,9634.51068763,17834998.9235738227
2,08/18/2022,1859.4,1873.14,1881.91,1849.23,19307.25878329,36023351.2697757738
1,08/18/2022,1873.15,1870.78,1878.6,1856.4,12415.39869222,23189085.6509955375
0,08/18/2022,1870.35,1846.66,1879.69,1842.64,10526.94222638,19601049.9620121413
5,08/19/2022,1846.39,1817.52,1848.03,1805.08,19900.60242471,36241888.3316807839
4,08/19/2022,1817.52,1744.25,1824.2,1720,25975.33206666,45909394.435920926
3,08/19/2022,1744.25,1707.93,1744.75,1683.83,28202.516655,48578903.3559116198
2,08/19/2022,1707.92,1698.15,1708.05,1675.9,24802.14978431,42037775.5131657878
1,08/19/2022,1698.15,1701.48,1726.59,1680,22452.24211563,38301639.7431911025
0,08/19/2022,1701.16,1608.9,1706.59,1603.51,31499.09617493,51792112.224425995
5,08/20/2022,1608.91,1627.71,1640.01,1607.34,17647.37102983,28696155.0844645595
4,08/20/2022,1627.71,1648.27,1657.29,1625.19,18863.08829133,30947396.4509523423
3,08/20/2022,1647.91,1631.22,1649.85,1617,11567.13798673,18899789.7700751541
2,08/20/2022,1631.12,1634.86,1644,1624.28,10663.76572717,17400511.292255392
1,08/20/2022,1634.86,1563.87,1639.78,1551,26826.30470873,42747810.4159172948
0,08/20/2022,1564.2,1575.9,1590,1523.27,27274.84068979,42598080.7784009955
5,08/21/2022,1575.9,1585.7,1604.4,1573.29,15708.146565,24945219.8421922948
4,08/21/2022,1585.7,1585.42,1595.38,1562.52,12599.36524925,19900055.6754867991
3,08/21/2022,1585.42,1626.93,1629.84,1584.73,19002.59951715,30630371.8439445186
2,08/21/2022,1626.94,1621.34,1640.79,1601.02,13879.3913431,22492977.8436814246
1,08/21/2022,1621.34,1624.23,1635,1610.81,11890.09743053,19295989.4814195833
0,08/21/2022,1624.23,1617.66,1646.43,1580.41,24250.80403025,39206800.3696153114
5,08/22/2022,1618,1595.47,1621.98,1594.33,16660.0832638,26749339.6050575943
4,08/22/2022,1595.22,1556.76,1610.58,1551.49,19199.15821599,30470790.2007828032
3,08/22/2022,1556.98,1567.96,1581.07,1529.35,25904.41318196,40249496.3711847377
2,08/22/2022,1568.27,1590.22,1595,1547.94,22787.00234917,35738907.2480451043
1,08/22/2022,1589.81,1567.68,1601.31,1549.18,14951.20701,23482318.587442324
0,08/22/2022,1568,1624.92,1629.05,1564.14,15069.74056437,23962634.0119286494
5,08/23/2022,1624.93,1608.92,1638.8,1607.31,15410.28583758,25053017.7887474618
4,08/23/2022,1609.36,1602.79,1617.8,1563.9,13752.05782608,21840958.8580099056
3,08/23/2022,1602.7,1620.2,1625.2,1588.27,14051.03791264,22594212.1451868597
2,08/23/2022,1620.21,1640.55,1654,1607,20562.96147744,33609946.893226855
1,08/23/2022,1640.58,1649.79,1675.95,1625.22,15615.56726597,25731848.4182671792
0,08/23/2022,1650.82,1665.41,1672.67,1641.88,10515.00748486,17408071.2131675745
5,08/24/2022,1665.68,1614.99,1666.51,1605.91,19487.43048134,31771279.8136571695
4,08/24/2022,1614.67,1626.87,1649.7,1610.63,13314.14035156,21739826.8366415047
3,08/24/2022,1626.88,1650.98,1653.95,1626.06,8571.88202442,14046809.8747510383
2,08/24/2022,1650.98,1683.73,1687.84,1642.81,16904.49749325,28045834.1640988547
1,08/24/2022,1683.73,1678.57,1694.4,1663.81,13635.4274273,22893436.2295765219
0,08/24/2022,1678.52,1656.44,1686.46,1651.62,10575.94777163,17649064.9457863241
5,08/25/2022,1656.44,1669.87,1684.59,1654.01,11221.51569502,18777029.2453729499
4,08/25/2022,1669.6,1708.88,1712.89,1669.08,12449.30139463,21094956.141560859
3,08/25/2022,1708.88,1710.32,1716.24,1693.73,11645.73795353,19864531.243350562
2,08/25/2022,1710.33,1701.2,1722,1688.9,19774.88723889,33723512.1762530762
1,08/25/2022,1701.2,1706.61,1713.12,1690.01,14612.71651892,24904699.0172049149
0,08/25/2022,1707.7,1695.09,1712.82,1683.57,15902.67376061,26969127.4300685204
5,08/26/2022,1695.44,1687.13,1695.44,1671.7,9971.42094529,16785791.3501510004
4,08/26/2022,1687.13,1660.42,1687.5,1641.6,11817.58139952,19646120.3202072528
3,08/26/2022,1660.41,1629.22,1667.29,1620.02,14403.76771826,23709044.8763021559
2,08/26/2022,1629.21,1593.53,1705.6,1585.02,56926.24406324,94020585.5634288741
1,08/26/2022,1593.72,1560.23,1599.4,1538.31,24905.122045,39002781.9657380059
0,08/26/2022,1559.82,1508.13,1568.49,1486.7,19839.52150721,30354899.5047398762
5,08/27/2022,1508.13,1501.9,1518.39,1483.25,13910.84677706,20918539.7395187384
4,08/27/2022,1501.89,1507.92,1509.5,1469.65,14537.70020048,21691516.4346300889
3,08/27/2022,1508.13,1505.6,1511.63,1494.8,9120.50490431,13717811.0726133769
2,08/27/2022,1505.61,1469.85,1509.1,1455.14,18531.12881943,27497704.6162044947
1,08/27/2022,1469.85,1479.81,1484.42,1446.51,23594.86934961,34589118.7941350264
0,08/27/2022,1479.81,1491.16,1498.92,1455.42,12303.76241801,18226928.7006145204
5,08/28/2022,1491.16,1491.16,1511.09,1477.1,8511.54156996,12715842.4399462467
4,08/28/2022,1491.16,1496.99,1502.69,1481.81,6698.66598509,9993364.0435444475
3,08/28/2022,1496.99,1485.6,1503.99,1476.01,7805.6596453,11624219.400039518
2,08/28/2022,1486.08,1486.85,1489.25,1459.81,12504.47529058,18452270.1508202292
1,08/28/2022,1486.86,1483.14,1496.9,1478.46,9998.76601752,14878664.1021800561
0,08/28/2022,1483.15,1427.07,1492.52,1424.2,19041.92425318,27790750.8928665109
5,08/29/2022,1426.37,1456.85,1462.64,1422.3,18191.9748147,26184926.3057539801
4,08/29/2022,1456.82,1454.79,1462.18,1439.48,11910.90785112,17300159.1983660624
3,08/29/2022,1454.8,1449.07,1456.81,1442.24,8909.7225056,12912447.7057126971
2,08/29/2022,1449.07,1521.58,1530.4,1446.97,42929.06012154,64387207.7188955793
1,08/29/2022,1521.95,1531.09,1544.82,1520.01,21952.89317182,33644088.1524779355
0,08/29/2022,1531.08,1551.9,1560,1529.08,12809.30543256,19786897.4827876719
5,08/30/2022,1551.63,1544.52,1552.59,1523.97,11034.1392154,16971435.3314209838
4,08/30/2022,1544.13,1587.52,1602.18,1543.05,21051.77175355,33254574.868409936
3,08/30/2022,1587.06,1584.9,1605.98,1576.77,11879.49996448,18875988.7001156032
2,08/30/2022,1584.91,1525.02,1594.43,1509.26,35159.33575716,54363103.4973429205
1,08/30/2022,1525.02,1543.71,1568.97,1473.71,36836.74266512,55831427.440022139
0,08/30/2022,1543.28,1524.26,1565.3,1516.36,21145.50066262,32555394.4384059389
5,08/31/2022,1524.26,1606.46,1616.83,1524.2,20154.52589262,31850267.2157123357
4,08/31/2022,1606.65,1584.86,1619.64,1577.02,14065.90443612,22499148.2294101123
3,08/31/2022,1584.85,1594.98,1607.92,1560.72,15581.43022194,24646069.479494525
2,08/31/2022,1594.96,1560.55,1609.82,1536.16,24136.84550892,38034362.0403159691
1,08/31/2022,1560.81,1575.19,1589,1528.01,16627.77920728,25892793.6943110001
0,08/31/2022,1575.19,1553.92,1584.8,1542.4,10163.25323217,15902177.896424013
