date,open,high,low,close,volume
9/1/2022,1553.92,1566.39,1550.01,1558.41,3680296.092
9/1/2022,1558.74,1562.2,1534.31,1551.17,3469301.39
9/1/2022,1551.18,1559.83,1548.31,1554.08,1902760.617
9/1/2022,1554.09,1564.78,1551.78,1559.9,2569054.448
9/1/2022,1559.93,1574.12,1559.59,1571.84,1641217.422
9/1/2022,1571.96,1573.33,1551.46,1557.01,2991153.794
9/1/2022,1557.01,1563.7,1552.9,1555.65,1140047.376
9/1/2022,1555.65,1557.33,1537.5,1549.27,2315689.729
9/1/2022,1549.94,1555.2,1542.51,1550.95,931749.0134
9/1/2022,1551.18,1557.16,1550,1552,889966.5201
9/1/2022,1551.76,1563,1548.79,1561.09,1190545.347
9/1/2022,1561.37,1561.6,1550.83,1553.43,966581.232
9/1/2022,1553.43,1555.3,1544.6,1553.21,1203757.389
9/1/2022,1553.32,1555.89,1546.4,1550.08,1005484.475
9/1/2022,1550.54,1550.54,1538.4,1539.44,2171528.255
9/1/2022,1539.43,1546.89,1531.13,1544.23,2229443.196
9/1/2022,1544.6,1549.6,1539,1542.69,1960880.229
9/1/2022,1542.69,1548.09,1533.54,1548.08,2012708.426
9/1/2022,1547.44,1554.8,1538.51,1546.14,2047522.823
9/1/2022,1546.03,1553.23,1542.55,1550.41,1523630.113
9/1/2022,1550.41,1556.93,1547.63,1553.68,1330108.928
9/1/2022,1553.68,1567.77,1552.16,1565.44,2458718.293
9/1/2022,1565.44,1570.19,1559.51,1565.34,2335638.155
9/1/2022,1565.35,1586,1564.4,1578.04,3657142.88
9/1/2022,1578.05,1581.23,1563.21,1567.9,2184873.087
9/1/2022,1567.93,1573.82,1552.01,1565.15,5184311.845
9/1/2022,1565.14,1568.69,1556.5,1559.04,1602054.397
9/1/2022,1559.42,1576.89,1554.5,1568.01,5649494.362
9/1/2022,1567.62,1569.69,1535.69,1551.35,8859644.72
9/1/2022,1551.59,1552.52,1515.55,1518.58,10138383.14
9/1/2022,1518.58,1535.68,1512.45,1528.18,5541622.448
9/1/2022,1528.19,1547.06,1527.7,1535.86,3064691.452
9/1/2022,1536.17,1542.4,1532.15,1535.76,2348625.24
9/1/2022,1535.76,1539.9,1523.79,1539.07,3682646.274
9/1/2022,1539.06,1568,1536.29,1566.4,3708431.344
9/1/2022,1566.4,1569.4,1552.27,1555.23,3662856.49
