,timestamp,open,close,high,low,tx amt,tx vol
17,01/01/2023,1194.46,1194.99,1195.1,1194.12,97.4935517,116479.712575792
16,01/01/2023,1195,1196.67,1196.67,1194.99,91.9085504,109904.476928696
15,01/01/2023,1196.67,1197.32,1197.64,1195.67,207.4952056,248290.779465627
14,01/01/2023,1197.5,1197.12,1198,1196.34,656.6309816,785904.169510028
13,01/01/2023,1197.12,1200.84,1203.17,1197.12,713.7723224,856650.395817901
12,01/01/2023,1200.85,1200.45,1201.65,1200.31,208.8802896,250821.621450991
11,01/01/2023,1200.45,1201.7,1202.78,1200.45,483.6825896,581241.860325106
10,01/01/2023,1201.7,1200.96,1201.87,1200.62,197.3378862,237035.65689156
9,01/01/2023,1200.96,1203.61,1204.45,1200.95,373.5907983,449315.786536462
8,01/01/2023,1203.61,1201.71,1203.79,1201.38,214.5376645,258022.231859576
7,01/01/2023,1201.71,1203.01,1204.8,1201.4,293.4857586,353113.706780597
6,01/01/2023,1203.02,1201.39,1203.51,1201.38,170.2805831,204784.08349511
5,01/01/2023,1201.33,1201.84,1201.84,1200.21,191.6133477,230113.415510102
4,01/01/2023,1201.84,1202.72,1202.96,1201.64,225.034668,270597.33837412
3,01/01/2023,1202.72,1202.13,1202.96,1202.11,118.8867141,142951.293887353
2,01/01/2023,1202.13,1200.86,1202.34,1200.37,165.6825638,199092.603990478
1,01/01/2023,1200.87,1200.42,1202.42,1200.09,224.5496237,269749.320542657
0,01/01/2023,1200.16,1200.54,1201.15,1199.31,239.3677055,287266.676761244
47,01/02/2023,1200.36,1198.09,1200.93,1197.77,214.5666222,257363.593753653
46,01/02/2023,1198.09,1198.08,1198.67,1197.43,188.6333182,225963.85190261
45,01/02/2023,1198.07,1195.96,1198.14,1193,702.1325726,839228.650551559
44,01/02/2023,1195.96,1195.1,1196.43,1195.1,185.8373605,222172.801868816
43,01/02/2023,1195.1,1196.33,1196.49,1194.31,460.7292053,550706.607352974
42,01/02/2023,1196.33,1196.85,1197.47,1196.32,296.7794925,355159.090637499
41,01/02/2023,1196.85,1196.83,1197.35,1196.58,91.456765,109471.195332468
40,01/02/2023,1196.83,1201.85,1203.69,1196.83,368.8170696,442847.665774278
39,01/02/2023,1201.99,1200.71,1202.73,1199.67,619.9533268,744367.620229597
38,01/02/2023,1200.71,1201.56,1201.9,1200,265.5947759,318944.271609545
37,01/02/2023,1201.55,1201.85,1202.28,1200.14,181.2695316,217790.8570528
36,01/02/2023,1201.86,1202.44,1203.03,1201.11,104.2674415,125357.946595254
