,timestamp,open,close,high,low,tx amt,tx vol
17,01/07/2022,3235.96,3170.23,3235.96,3152.72,7224.78114538,23007760.460938196
16,01/07/2022,3170.15,3201.56,3204.46,3114.6,5650.78309798,17854612.8570046667
15,01/07/2022,3202.14,3231.01,3291.33,3188.75,5867.76808111,18947768.1129999347
14,01/07/2022,3231,3250.96,3275.68,3228.31,4802.82475627,15650895.6582868265
13,01/07/2022,3251.06,3217.24,3265.97,3216.93,3921.0857224,12729711.1585980769
12,01/07/2022,3217.23,3225.56,3235.75,3215,2556.55504087,8244384.2688179816
11,01/07/2022,3225.56,3241.1,3264.71,3225.56,3708.31215066,12042120.7189663034
10,01/07/2022,3241.11,3166.34,3267.7,3112.96,8599.14288554,27429887.0466268822
9,01/07/2022,3168.19,3207.38,3226.86,3157.85,4714.37016755,15078130.1226643083
8,01/07/2022,3207.69,3132.34,3209.3,3060.85,7907.79409962,24788565.3763976186
7,01/07/2022,3131.09,3213.8,3222.78,3091.26,10654.44340068,33724511.4661205693
6,01/07/2022,3213.55,3203.13,3215.33,3173.8,5056.74673475,16150731.5151249725
5,01/07/2022,3203.12,3171.35,3208.89,3153.99,3390.2700799,10791245.9698524072
4,01/07/2022,3171.98,3197.17,3203.1,3145.04,4570.20584641,14483479.6822610587
3,01/07/2022,3197.74,3215.36,3225.88,3183.53,2749.5335265,8813378.0246687465
2,01/07/2022,3215.88,3215.57,3224.25,3205.45,2223.02612742,7149440.8852048842
1,01/07/2022,3215.53,3181.49,3216.53,3165.1,2317.99903892,7416155.6612572603
0,01/07/2022,3181.49,3197.87,3205.47,3170.87,3113.17817315,9929690.3548503858
23,01/08/2022,3197.87,3236.74,3239.4,3188.21,3079.83265576,9903648.5213645227
22,01/08/2022,3236.37,3217.4,3255.5,3215.99,2798.15142424,9047766.2006685946
21,01/08/2022,3217.41,3209.54,3221.65,3189.76,2060.54963862,6605165.2877382808
20,01/08/2022,3209.86,3203.71,3212.8,3180,3467.43274628,11079868.3872465639
19,01/08/2022,3203.71,3218.87,3227.28,3201.9,1676.87299316,5389359.8732247097
18,01/08/2022,3218.86,3215.99,3221.09,3204.41,1481.19497989,4760376.4127980132
