,timestamp,open,close,high,low,tx amt,tx vol
5,01/01/2022,3676.93,3723.73,3747.79,3676.93,6532.14764595,24307662.2247748839
4,01/01/2022,3723.73,3716.08,3764.52,3694.2,8333.80638253,31042496.5169373097
3,01/01/2022,3715.3,3694.02,3732.77,3671.74,5632.66355344,20890226.0817709442
2,01/01/2022,3693.7,3725.25,3745,3693.24,7292.04460206,27114477.219392883
1,01/01/2022,3725.24,3748.16,3765.79,3717.93,11615.53752882,43493763.07737412
0,01/01/2022,3748.16,3765.82,3777.2,3739.21,6827.86731979,25664300.6250861317
5,01/02/2022,3765.82,3759.01,3770.99,3742.14,6310.30902866,23693343.8175830965
4,01/02/2022,3759.02,3748.09,3761.94,3714.88,7852.93278385,29354865.9801236016
3,01/02/2022,3748.1,3743.67,3769.4,3732.18,4813.00780359,18045438.6732366254
2,01/02/2022,3743.67,3778.99,3788.56,3731,7641.74991142,28705353.6323582066
1,01/02/2022,3778.98,3799.27,3857.69,3771.43,13737.25001769,52334776.9753680728
0,01/02/2022,3799.08,3828.88,3839.89,3794.56,5809.84423345,22189929.7224311364
5,01/03/2022,3828.63,3785.37,3828.63,3775.67,7775.19577583,29545498.3679023253
4,01/03/2022,3785.36,3809.28,3822.82,3780.56,7319.45367868,27843958.3393435965
3,01/03/2022,3809.28,3834.58,3844.45,3792.15,8447.18524279,32246120.1130596074
2,01/03/2022,3834.58,3783.69,3851.58,3776.98,10414.17816047,39744413.8289307097
1,01/03/2022,3783.68,3739.18,3794.48,3735.51,11319.48450011,42530273.4804547458
0,01/03/2022,3739.18,3765.14,3777.19,3682.51,13096.37913466,48810646.1412246443
5,01/04/2022,3765.13,3744.62,3773.65,3713.89,8687.94521467,32501354.6906324461
4,01/04/2022,3744.16,3763.67,3763.67,3726.94,8561.4553912,32058181.5294893476
3,01/04/2022,3763.68,3836.95,3840,3758.02,12098.75983563,45933545.8669771953
2,01/04/2022,3836.85,3849,3894.35,3816.31,17282.02519885,66644413.9327646587
1,01/04/2022,3849,3811.21,3863.5,3758.25,20550.44164241,78574276.8006445734
0,01/04/2022,3811.22,3785.14,3833.09,3784.51,8813.49865954,33602868.3564039293
5,01/05/2022,3785.14,3809.91,3827.01,3767.34,8375.42939385,31848261.7001807
4,01/05/2022,3809.91,3816.21,3823.33,3797.45,7837.4956133,29864241.4547976117
